iter	Passed	Remaining
479	615	666
480	616	664
481	616	663
482	618	661
483	619	660
484	619	658
485	620	656
486	621	654
487	622	653
488	623	652
489	624	650
490	625	648
491	626	647
492	627	645
493	628	643
494	629	641
495	630	640
496	631	638
497	631	637
498	632	635
499	633	633
500	634	631
501	634	629
502	635	628
503	637	627
504	637	625
505	638	623
506	639	621
507	640	619
508	640	618
509	641	616
510	643	615
511	643	613
512	644	612
513	645	610
514	646	608
515	646	606
516	647	605
517	648	603
518	649	601
519	650	600
520	651	598
521	651	596
522	652	595
523	653	593
524	653	591
525	654	589
526	655	588
527	656	586
528	657	585
529	658	583
530	658	581
531	659	580
532	660	578
533	661	577
534	662	575
535	663	573
536	663	572
537	664	570
538	665	568
539	665	567
540	666	565
541	667	564
542	668	562
543	669	560
544	669	559
545	670	557
546	671	555
547	672	554
548	672	552
549	673	551
550	674	549
551	675	548
552	676	546
553	677	545
554	678	543
555	679	542
556	681	541
557	682	540
558	682	538
559	683	537
560	684	535
561	685	534
562	686	532
563	687	531
564	688	529
565	689	528
566	689	526
567	690	525
568	691	523
569	692	522
570	693	520
571	694	519
572	695	517
573	695	516
574	696	515
575	697	513
576	699	512
577	699	511
578	700	509
579	701	508
580	702	506
581	703	505
582	704	504
583	705	502
584	706	501
585	707	499
586	708	498
587	708	496
588	709	495
589	711	494
590	711	492
591	712	491
592	713	489
593	714	488
594	715	487
595	716	485
596	717	484
597	718	483
598	719	481
599	720	480
600	721	478
601	722	477
602	722	475
603	723	474
604	724	472
605	725	471
606	726	470
607	727	468
608	728	467
609	729	466
610	729	464
611	730	463
612	731	461
613	732	460
614	733	459
615	734	457
616	735	456
617	736	455
618	737	453
619	738	452
620	739	451
621	740	450
622	741	448
623	742	447
624	743	445
625	744	444
626	744	443
627	745	441
628	746	440
629	747	438
630	748	437
631	749	436
632	749	434
633	750	433
634	751	432
635	753	430
636	753	429
637	754	428
638	755	427
639	756	425
640	757	424
641	758	423
642	760	422
643	761	420
644	761	419
645	762	417
646	763	416
647	764	415
648	765	413
649	766	412
650	767	411
651	768	409
652	768	408
653	769	407
654	770	406
655	771	404
656	772	403
657	773	402
658	774	400
659	775	399
660	776	398
661	778	397
662	779	396
663	780	395
664	781	393
665	782	392
666	783	391
667	784	390
668	785	388
669	786	387
670	787	386
671	788	384
672	789	383
673	790	382
674	791	381
675	792	379
676	794	378
677	797	378
678	798	377
679	799	376
680	801	375
681	802	374
682	804	373
683	805	371
684	806	370
685	807	369
686	809	368
687	810	367
688	812	366
689	813	365
690	816	364
691	817	363
692	818	362
693	819	361
694	821	360
695	823	359
696	825	358
697	826	357
698	827	356
699	829	355
700	830	354
701	831	352
702	832	351
703	834	350
704	835	349
705	836	348
706	837	346
707	839	346
708	840	344
709	841	343
710	842	342
711	843	341
712	844	340
713	846	339
714	847	337
715	848	336
716	850	335
717	851	334
718	852	333
719	853	332
720	856	331
721	858	330
722	859	329
723	860	327
724	863	327
725	864	326
726	865	324
727	865	323
728	866	322
729	868	321
730	869	319
731	870	318
732	871	317
733	872	316
734	872	314
735	874	313
736	875	312
737	876	311
738	877	310
739	878	308
740	879	307
741	881	306
742	882	305
743	882	303
744	883	302
745	885	301
746	887	300
747	888	299
748	889	298
749	890	296
750	893	296
751	894	294
752	895	293
753	896	292
754	896	291
755	898	289
756	900	288
757	900	287
758	901	286
759	902	285
760	904	284
761	905	282
762	906	281
763	907	280
764	908	279
765	909	277
766	911	277
767	913	275
768	914	274
769	915	273
770	917	272
771	918	271
772	919	269
773	920	268
774	920	267
775	921	266
776	923	264
777	923	263
778	924	262
779	925	261
780	926	259
781	927	258
782	928	257
783	929	256
784	930	254
785	931	253
786	932	252
787	932	250
788	933	249
789	934	248
790	935	247
791	936	245
792	937	244
793	937	243
794	938	242
795	939	240
796	940	239
797	941	238
798	942	237
799	943	235
800	943	234
801	944	233
802	945	231
803	946	230
804	946	229
805	947	228
806	948	226
807	949	225
808	950	224
809	950	223
810	951	221
811	952	220
812	953	219
813	954	218
814	955	216
815	956	215
816	956	214
817	957	213
818	958	211
819	960	210
820	960	209
821	961	208
822	962	207
823	963	205
824	963	204
825	965	203
826	966	202
827	967	200
828	967	199
829	968	198
830	969	197
831	970	195
832	971	194
833	972	193
834	972	192
835	973	190
836	974	189
837	975	188
838	975	187
839	977	186
840	978	184
841	978	183
842	979	182
843	980	181
844	981	179
845	981	178
846	982	177
847	983	176
848	984	175
849	985	173
850	985	172
851	986	171
852	987	170
853	988	168
854	989	167
855	990	166
856	991	165
857	992	164
858	992	162
859	993	161
860	994	160
861	996	159
862	997	158
863	998	157
864	998	155
865	999	154
866	1001	153
867	1002	152
868	1002	151
869	1003	149
870	1004	148
871	1005	147
872	1005	146
873	1007	145
874	1007	143
875	1008	142
876	1009	141
877	1010	140
878	1011	139
879	1012	138
880	1013	136
881	1014	135
882	1014	134
883	1015	133
884	1016	132
885	1017	130
886	1017	129
887	1018	128
888	1019	127
889	1020	126
890	1021	124
891	1022	123
892	1022	122
893	1023	121
894	1024	120
895	1026	119
896	1027	117
897	1027	116
898	1028	115
899	1029	114
900	1030	113
901	1031	112
902	1032	110
903	1032	109
904	1033	108
905	1034	107
906	1035	106
907	1035	104
908	1036	103
909	1037	102
910	1038	101
911	1039	100
912	1040	99
913	1040	97
914	1041	96
915	1042	95
916	1043	94
917	1044	93
918	1045	92
919	1045	90
920	1046	89
921	1047	88
922	1048	87
923	1049	86
924	1050	85
925	1051	84
926	1052	82
927	1053	81
928	1054	80
929	1055	79
930	1056	78
931	1057	77
932	1057	75
933	1058	74
934	1059	73
935	1060	72
936	1060	71
937	1061	70
938	1062	69
939	1063	67
940	1064	66
941	1065	65
942	1065	64
943	1066	63
944	1068	62
945	1070	61
946	1070	59
947	1071	58
948	1072	57
949	1073	56
950	1074	55
951	1075	54
952	1076	53
953	1077	51
954	1078	50
955	1078	49
956	1080	48
957	1082	47
958	1083	46
959	1083	45
960	1084	44
961	1085	42
962	1086	41
963	1087	40
964	1088	39
965	1089	38
966	1090	37
967	1090	36
968	1092	34
969	1094	33
970	1094	32
971	1095	31
972	1096	30
973	1097	29
974	1098	28
975	1099	27
976	1100	25
977	1101	24
978	1102	23
979	1103	22
980	1103	21
981	1105	20
982	1106	19
983	1107	18
984	1108	16
985	1109	15
986	1110	14
987	1112	13
988	1113	12
989	1113	11
990	1114	10
991	1115	8
992	1116	7
993	1117	6
994	1118	5
995	1119	4
996	1120	3
997	1121	2
998	1122	1
999	1124	0
